ISBN,Review,Rating
0316769487,Would definitely read again.,9
0316769487,Would recommend to any book lover.,2
0142001740,Didn't live up to the hype.,5
0446310786,An instant favorite!,7
0842329129,Struggled to finish it.,1
0786868716,Struggled to finish it.,9
0312195516,Really makes you think.,1
0449005615,"Good book, but not memorable.",8
0446672211,Really makes you think.,3
0842329129,"Not my type, but well-written.",10
0449005615,Gripping from start to finish.,6
0452282152,"Not my type, but well-written.",2
0842329129,Would definitely read again.,4
0452282152,"Good book, but not memorable.",8
0786868716,A compelling narrative with great themes.,4
0446672211,Highly overrated in my opinion.,9
0452282152,Very emotional and beautifully written.,9
0452282152,Highly overrated in my opinion.,7
0142001740,"Not my type, but well-written.",5
0345313860,Didn't live up to the hype.,2
0316769487,Really makes you think.,4
0446310786,Fantastic writing and storytelling.,9
0060915544,Very emotional and beautifully written.,1
0060938455,A compelling narrative with great themes.,9
0446672211,Would definitely read again.,8
0345313860,Didn't live up to the hype.,8
0142001740,"It was okay, not great.",6
0786868716,Didn't live up to the hype.,6
0151008116,Highly overrated in my opinion.,2
0449005615,Highly overrated in my opinion.,1
0805063897,Really makes you think.,9
0316769487,Didn't live up to the hype.,8
0449005615,A timeless classic.,5
0312195516,An instant favorite!,10
0316666343,Gripping from start to finish.,1
0345313860,"Good book, but not memorable.",7
0842329129,A compelling narrative with great themes.,10
0842329129,An instant favorite!,10
0449005615,Struggled to finish it.,8
0449005615,A compelling narrative with great themes.,5
0449005615,A timeless classic.,10
0151008116,Absolutely loved it!,5
0060915544,Gripping from start to finish.,10
0805063897,"Not my type, but well-written.",5
037582345X,Characters were very relatable.,9
0452282152,Gripping from start to finish.,5
0060938455,Highly overrated in my opinion.,2
0060915544,Characters were very relatable.,2
0156027321,Didn't live up to the hype.,9
0156027321,Found it a bit slow in the middle.,7
0060915544,Struggled to finish it.,8
0345313860,Absolutely loved it!,1
0446672211,Didn't live up to the hype.,2
0060915544,Didn't live up to the hype.,9
0671461494,An instant favorite!,9
0060915544,Didn't live up to the hype.,1
0142001740,A timeless classic.,2
0679893105,Absolutely loved it!,10
0060915544,Characters were very relatable.,8
3257208626,Didn't live up to the hype.,8
0156027321,Struggled to finish it.,10
0151008116,Fantastic writing and storytelling.,4
0156027321,A timeless classic.,7
0679893105,An instant favorite!,10
0060938455,Would definitely read again.,5
0452282152,"Good book, but not memorable.",9
0452282152,Gripping from start to finish.,10
0316769487,Interesting characters and plot.,3
0060938455,A compelling narrative with great themes.,4
0060938455,Didn't live up to the hype.,5
0151008116,Really makes you think.,6
3257208626,Gripping from start to finish.,3
0786868716,Highly overrated in my opinion.,8
0316666343,Fantastic writing and storytelling.,2
0312195516,Gripping from start to finish.,7
0786868716,Found it a bit slow in the middle.,8
0842329129,An instant favorite!,6
0446672211,Interesting characters and plot.,1
0345313860,A timeless classic.,6
0452282152,Gripping from start to finish.,8
3257208626,Interesting characters and plot.,8
0345313860,Loved the ending!,1
0449005615,Struggled to finish it.,3
0446672211,Highly overrated in my opinion.,5
0345313860,Absolutely loved it!,8
0156027321,"It was okay, not great.",5
0312195516,Loved the ending!,2
0786868716,An instant favorite!,5
0316666343,A timeless classic.,3
0151008116,Absolutely loved it!,10
0060915544,Fantastic writing and storytelling.,4
0805063897,A timeless classic.,4
0142001740,Characters were very relatable.,4
0786868716,Interesting characters and plot.,8
0156027321,Struggled to finish it.,9
0446310786,"It was okay, not great.",6
0312195516,A compelling narrative with great themes.,5
0316666343,Would definitely read again.,6
0156027321,Interesting characters and plot.,9
0805063897,A timeless classic.,5
0805063897,Characters were very relatable.,5
0316666343,"Not my type, but well-written.",1
0446672211,Fantastic writing and storytelling.,2
0449005615,Interesting characters and plot.,4
037582345X,"It was okay, not great.",5
0671461494,A timeless classic.,10
0805063897,Didn't live up to the hype.,3
0151008116,Very emotional and beautifully written.,1
0671461494,"Not my type, but well-written.",7
0805063897,"Good book, but not memorable.",7
0671461494,Highly overrated in my opinion.,6
0449005615,Didn't live up to the hype.,1
0679893105,Interesting characters and plot.,6
